timestamp,ssid,bssid,frequency,rss,wifiNo,legit
180851585000,Welcome_KAIST,00:24:6c:7d:f7:20,2472,-35,-1,true
180851585003,eduroam,00:24:6c:7d:f7:21,2472,-35,-1,true
180851584852,Welcome_KAIST,00:24:6c:7d:f3:00,2432,-46,-1,true
180851584856,eduroam,00:24:6c:7d:f3:01,2432,-46,-1,true
180851584736,LIT_2.4G,70:8b:cd:2f:82:60,2417,-50,-1,true
180851584942,Welcome_KAIST,6c:f3:7f:fa:ab:20,2452,-51,-1,true
180851584946,eduroam,6c:f3:7f:fa:ab:21,2452,-51,-1,true
180851584955,eduroam,00:24:6c:7d:f6:a1,2452,-52,-1,true
180851584951,Welcome_KAIST,00:24:6c:7d:f6:a0,2452,-52,-1,true
180851584918,Welcome_KAIST,00:24:6c:7d:f7:30,5805,-53,-1,true
180851584922,eduroam,00:24:6c:7d:f7:31,5805,-53,-1,true
180851584902,LIT_5G,70:8b:cd:2f:82:64,5785,-58,-1,true
180851584833,eduroam,00:24:6c:7d:f3:11,5745,-59,-1,true
180851584829,Welcome_KAIST,00:24:6c:7d:f3:10,5745,-59,-1,true
180851584810,Welcome_KAIST,00:24:6c:7a:8b:20,2432,-60,-1,true
180851584816,eduroam,00:24:6c:7a:8b:21,2432,-60,-1,true
180851584800,WCSL 5GHz,64:e5:99:da:03:6c,5240,-61,-1,true
180851584748,eduroam,6c:f3:7f:fa:ab:31,5180,-61,-1,true
180851584768,iptime,90:9f:33:c3:30:0e,2417,-61,-1,true
180851584842,eduroam,00:24:6c:7a:8b:31,5745,-62,-1,true
180851584838,Welcome_KAIST,00:24:6c:7a:8b:30,5745,-62,-1,true
180851584974,moonlab,88:36:6c:be:8e:76,2467,-63,-1,true
180851584824,eduroam,00:24:6c:7d:f7:e1,2432,-63,-1,true
180851584872,HP-Print-90-Color LaserJet MFP,34:68:95:09:c6:90,2437,-63,-1,true
180851584758,Welcome_KAIST,6c:f3:7f:fa:ab:30,5180,-64,-1,true
180851584884,DIRECT-8c-HP M477 LaserJet,6a:14:01:33:c9:8c,2437,-64,-1,true
180851584959,Welcome_KAIST,00:24:6c:7d:f6:80,2452,-66,-1,true
180851584937,WCSL 2.4GHz,64:e5:99:da:03:68,2442,-66,-1,true
180851584730,HP-Print-EB-Photosmart 5520,64:51:06:e3:a5:eb,2417,-67,-1,true
180851584867,wit,90:9f:33:fa:11:de,2432,-67,-1,true
180851584876,Welcome_KAIST,00:24:6c:7d:f7:e0,2432,-67,-1,true
180851584964,Welcome_KAIST,00:24:6c:7d:fe:00,2452,-67,-1,true
180851584712,DIRECT-f1-HP M402 LaserJet,1a:4f:32:93:be:f1,2412,-67,-1,true
180851584978,artlab,90:9f:33:41:a7:88,2452,-68,-1,true
180851584897,wit_5G,90:9f:33:f9:11:de,5785,-68,-1,true
180851584783,iptime_bk,90:9f:33:da:3b:c2,2417,-68,-1,true
180851584744,Welcome_KAIST,00:24:6c:7d:f6:90,5180,-68,-1,true
180851584796,eduroam,00:24:6c:7d:f6:b1,5240,-69,-1,true
180851585026,Welcome_KAIST,00:24:6c:7d:fb:40,2472,-69,-1,true
180851584790,Welcome_KAIST,00:24:6c:7d:f6:b0,5240,-71,-1,true
180851584969,eduroam,00:24:6c:7d:fe:01,2452,-71,-1,true
180851585018,Welcome_KAIST,00:24:6c:7d:f7:00,2472,-71,-1,true
180851585042,,a0:40:a0:56:08:f8,5540,-72,-1,true
180851584908,Welcome_KAIST,00:24:6c:7d:f6:f0,5805,-72,-1,true
180851584739,eduroam,00:24:6c:7d:f6:e1,2412,-72,-1,true
180851585021,eduroam,00:24:6c:7d:f7:01,2472,-72,-1,true
180851584912,eduroam,00:24:6c:7d:f6:f1,5805,-74,-1,true
180851584988,iptime_DY,64:e5:99:d4:d8:76,2462,-74,-1,true
180851584880,DIRECT-23-HP M402 LaserJet,96:53:30:7c:92:23,2437,-74,-1,true
180851584992,DIRECT-qYM262x 282x Series,86:25:19:28:f0:86,2462,-76,-1,true
180851584787,음이온에너지,90:9f:33:ce:a5:10,2417,-76,-1,true
180851585031,Welcome_KAIST,00:24:6c:7d:f5:c0,2472,-76,-1,true
180851585008,Jmiptime,90:9f:33:b1:a1:76,2447,-77,-1,true
180851584982,DIRECT-psC145x Series,86:25:19:2e:01:fd,2462,-77,-1,true
180851584779,eduroam,00:24:6c:7d:f3:f1,5200,-78,-1,true
180851584995,eduroam,00:24:6c:7d:fd:a1,2472,-78,-1,true
180851584847,KECI_5G,18:31:bf:46:ff:dc,5745,-78,-1,true
180851584891,DIRECT-90-HP M477 LaserJet,96:53:30:29:0e:90,2437,-78,-1,true
180851584726,ISILAB_5,2c:56:dc:84:dd:8c,5785,-79,-1,true
180851584774,Welcome_KAIST,00:24:6c:7d:f3:f0,5200,-79,-1,true
180851585012,Jmiptime2,90:9f:33:ad:29:e8,2472,-79,-1,true
180851584805,NMSL_N1_721,a0:40:a0:56:08:f7,5240,-81,-1,true
180851584753,eduroam,00:24:6c:7d:f7:f1,5180,-81,-1,true
180851584762,Welcome_KAIST,00:24:6c:7d:f7:f0,5180,-82,-1,true
180851584927,Welcome_KAIST,00:24:6c:7d:fe:10,5765,-85,-1,true
180851584931,eduroam,00:24:6c:7d:fe:11,5765,-86,-1,true
180851584861,JoyK,9c:d6:43:c8:11:82,5765,-87,-1,true
180851584820,eduroam,00:24:6c:7a:88:f1,5240,-89,-1,true
180854829852,Welcome_KAIST,00:24:6c:7d:f7:20,2472,-39,0,true
